Date,Message
2026-02-25T10:30:00.000-05:00,10:30:00  bar=19030
2026-02-25T10:30:00.000-05:00,[CHART tf=3] trail=25281.25 ts=1 slope=18.3298 ema=25293.72 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false
2026-02-25T10:30:00.000-05:00,[HTF1 tf=3] trail=25281.25 ts=1 slope=18.9961 ema=25289.13 c=25334.25 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false res=25361 sup=25130
2026-02-25T10:30:00.000-05:00,[HTF2 tf=5] trail=25156.75 ts=1 slope=31.2852 c=25334.25 bu1=false be1=false bu3=false be3=false bbos=false sbos=false
2026-02-25T10:30:00.000-05:00,[HTF3 tf=15] trail=25122.25 ts=1 slope=62.9618 c=25334.25 bu3=false be3=false bbos=false sbos=false
2026-02-25T10:30:00.000-05:00,[ARMS] lf1=false lf2=true lf3=true lblk=true L_ARMED=false L_TRIG=false | sf1=true sf2=false sf3=false sblk=false S_ARMED=false S_TRIG=false | BE=false TRAIL=false | Sess=true KZ=true LimOk=true Flat=true
2026-02-25T10:33:00.000-05:00,10:33:00  bar=19031
2026-02-25T10:33:00.000-05:00,[CHART tf=3] trail=25281.25 ts=1 slope=0.1079 ema=25293.74 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false
2026-02-25T10:33:00.000-05:00,[HTF1 tf=3] trail=25281.25 ts=1 slope=18.3298 ema=25293.72 c=25337.25 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false res=25361 sup=25130
2026-02-25T10:33:00.000-05:00,[HTF2 tf=5] trail=25156.75 ts=1 slope=31.2852 c=25334.25 bu1=false be1=false bu3=false be3=false bbos=false sbos=false
2026-02-25T10:33:00.000-05:00,[HTF3 tf=15] trail=25122.25 ts=1 slope=62.9618 c=25334.25 bu3=false be3=false bbos=false sbos=false
2026-02-25T10:33:00.000-05:00,[ARMS] lf1=false lf2=true lf3=true lblk=true L_ARMED=false L_TRIG=false | sf1=true sf2=false sf3=false sblk=false S_ARMED=false S_TRIG=false | BE=false TRAIL=false | Sess=true KZ=true LimOk=true Flat=true
2026-02-25T10:36:00.000-05:00,10:36:00  bar=19032
2026-02-25T10:36:00.000-05:00,[CHART tf=3] trail=25281.25 ts=1 slope=2.1929 ema=25294.29 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false
2026-02-25T10:36:00.000-05:00,[HTF1 tf=3] trail=25281.25 ts=1 slope=0.1079 ema=25293.74 c=25294 bu1=false be1=false bu2=false be2=false bu3=false be3=false bbos=false sbos=false bchoch=false schoch=false res=25361 sup=25130
2026-02-25T10:36:00.000-05:00,[HTF2 tf=5] trail=25217.25 ts=1 slope=14.3057 c=25297.5 bu1=false be1=false bu3=false be3=false bbos=false sbos=false
2026-02-25T10:36:00.000-05:00,[HTF3 tf=15] trail=25122.25 ts=1 slope=62.9618 c=25334.25 bu3=false be3=false bbos=false sbos=false
2026-02-25T10:36:00.000-05:00,[ARMS] lf1=false lf2=true lf3=true lblk=true L_ARMED=false L_TRIG=false | sf1=true sf2=false sf3=false sblk=false S_ARMED=false S_TRIG=false | BE=false TRAIL=false | Sess=true KZ=true LimOk=true Flat=true
2026-02-25T10:39:00.000-05:00,10:39:00  bar=19033
